Condition,Fluo
A,703.4072
A,747.6754
A,737.9053
A,656.4465
A,663.5358
A,790.9059
A,630.1572
A,654.3815
A,716.0546
A,675.4168
A,672.018
A,689.4578
A,690.5696
A,691.1517
A,745.4389
A,617.2037
A,607.5886
A,610.3297
A,615.0616
A,572.6312
A,598.0911
A,583.8688
A,643.8231
A,667.0798
A,524.4645
A,468.9323
A,543.0098
A,511.0129
A,500.4585
A,571.5034
A,480.8228
A,533.8524
A,539.8375
A,518.1168
A,525.9138
A,578.5949
A,584.5347
A,587.822
A,636.2923
A,424.3181
A,428.6403
A,469.4683
A,477.474
A,481.0976
A,531.059
A,622.9905
A,651.9005
A,624.1844
A,520.1096
A,513.7618
A,580.7794
A,592.1694
A,580.9217
A,574.7445
A,442.6732
A,441.7103
A,509.4001
A,438.1319
A,504.0981
A,532.2971
A,582.4137
A,585.7387
A,652.5375
B,674.7564
B,724.4271
B,627.324
B,701.6263
B,713.187
B,727.5079
B,799.9614
B,775.5599
B,828.3068
B,781.1125
B,789.0351
B,868.3048
B,865.8132
B,909.9764
B,934.5193
B,620.869
B,651.2944
B,680.5483
B,740.9536
B,678.4462
B,720.6498
B,885.7741
B,819.0208
B,843.9189
B,803.2853
B,796.4345
B,764.0258
B,842.9359
B,769.2912
B,830.5095
B,802.0881
B,729.5986
B,779.779
B,850.8954
B,832.4463
B,825.3447
B,716.6724
B,754.7982
B,728.9443
B,836.101
B,845.2736
B,903.5475
B,611.79
B,643.7518
B,705.6708
B,737.3734
B,713.9089
B,730.8528
B,781.5389
B,816.0629
B,801.7895
B,788.9478
B,841.5049
B,895.5246
B,804.4472
B,865.3672
B,891.4901
B,775.4843
B,800.4331
B,823.3474
B,863.5079
B,846.1078
B,817.9135
C,29.38378
C,29.8277
C,25.11485
C,25.27999
C,28.44963
C,29.47242
C,25.79441
C,25.01038
C,22.28842
C,20.79668
C,21.62475
C,22.34341
C,23.44817
C,20.32988
C,20.20959
C,19.48555
C,22.50038
C,23.12727
C,19.17622
C,21.65816
C,24.11476
C,47.54465
C,50.18601
C,59.24504
C,39.70643
C,34.15063
C,39.99408
C,52.96816
C,55.55198
C,54.84079
C,48.21488
C,53.69209
C,65.02451
C,42.26501
C,59.94807
C,48.79173
C,54.19462
C,56.07268
C,52.64928
C,40.62977
C,52.41147
C,51.86756
C,56.58885
C,61.57423
C,68.48951
C,61.49306
C,62.42948
C,63.05082
C,66.97479
C,67.8837
C,66.46339
C,86.28564
C,89.99663
C,96.47711
C,89.6982
C,88.86806
C,89.06364
C,84.84185
C,86.51808
C,80.77373
C,71.83657
C,70.72612
C,75.63824
D,14.41792
D,12.29755
D,16.18328
D,18.0953
D,11.13904
D,13.1988
D,14.91009
D,13.9484
D,13.71232
D,12.37944
D,14.83542
D,12.50623
D,10.23035
D,13.25668
D,10.61072
D,8.21461
D,13.3926
D,8.77753
D,7.06068
D,8.14044
D,7.93602
D,29.56684
D,33.12993
D,32.68319
D,45.43648
D,35.72957
D,35.79642
D,25.12367
D,23.28058
D,22.12877
D,22.35258
D,20.10906
D,16.29115
D,15.2085
D,14.93912
D,16.00361
D,22.45711
D,6.18312
D,14.52921
D,0.31967
D,2.91405
D,1.22386
D,17.77219
D,25.16785
D,18.62104
D,15.41063
D,18.04296
D,15.54757
D,20.83284
D,18.02583
D,20.95574
D,14.31025
D,17.48762
D,24.38183
D,10.28794
D,13.52459
D,11.57106
D,14.45017
D,16.04346
D,14.89391
D,18.29057
D,21.13973
D,18.46225
