"xn","x","meanE","SE","n"
"400",0.4,0.240004032939743,0.0219347358775786,12
"400",0.4,1.34904879786412,0.277923198683176,10
"800",0.8,0.846088551406899,0.0792985013432584,12
"800",0.8,7.42780865959969,1.74743355138923,10
"1200",1.2,2.24453665738159,0.252486831590474,12
"1200",1.2,19.2739598145787,3.88638990330695,10
"1600",1.6,4.36663211201622,0.546472600148202,12
"1600",1.6,37.7166393568133,6.77312408979053,10
"2000",2,7.83955249648516,1.07478892674463,12
"2000",2,58.9613380284408,9.59392559587413,9
"2400",2.4,11.937120708611,1.55982695626583,12
"2400",2.4,83.1854382995912,12.712615933619,7
"2800",2.8,17.1390473784667,2.13161416414103,12
"2800",2.8,109.701359543653,14.0354791637032,6
