"ID","Type","x_mm","E_kPa"
"2","Shallow",0.2015,0.198157687
"2","Shallow",0.403,0.240022417
"2","Shallow",0.60775,0.438858284
"2","Shallow",0.806,0.739749424
"2","Shallow",1.0075,1.157193339
"2","Shallow",1.209,2.146075592
"2","Shallow",1.4105,2.521874594
"2","Shallow",1.6185,3.139965077
"2","Shallow",1.8135,4.102435162
"2","Shallow",2.015,5.42254164
"2","Shallow",2.2165,6.897991621
"2","Shallow",2.5025,7.25898116
"2","Shallow",2.7625,8.906717236
"2","Shallow",2.96725,9.94900788
"3","Shallow",0.2925,0.144683703
"3","Shallow",0.65,0.319688055
"3","Shallow",1.1375,1.110900804
"3","Shallow",1.625,2.659258256
"3","Shallow",2.1125,5.329246634
"3","Shallow",2.6,9.375119814
"3","Shallow",3.0875,14.41607863
"4","Shallow",0.325,0.246406115
"4","Shallow",0.6565,0.296284602
"4","Shallow",1.1375,1.093552023
"4","Shallow",1.625,2.810776808
"4","Shallow",2.1125,5.772747796
"4","Shallow",2.6,9.871433905
"4","Shallow",3.0875,15.36027781
"5","Shallow",0.2535,0.227547923
"5","Shallow",0.65,0.272106192
"5","Shallow",1.1375,1.486018383
"5","Shallow",1.625,3.28716635
"5","Shallow",2.1125,6.477952305
"5","Shallow",2.6,10.49576089
"5","Shallow",3.0875,16.48805162
"6","Shallow",0.2925,0.08032949
"6","Shallow",0.65,0.434140764
"6","Shallow",1.1375,1.794255433
"6","Shallow",1.625,4.282168242
"6","Shallow",2.1125,8.224867046
"6","Shallow",2.6,13.6233424
"6","Shallow",3.0875,18.85356978
"7","Shallow",0.2145,0.336564891
"7","Shallow",0.65,0.37398472
"7","Shallow",1.625,3.975597761
"7","Shallow",2.1125,8.065472639
"7","Shallow",2.6,13.33935226
"7","Shallow",3.0875,19.41094451
"8","Shallow",0.2795,0.078974953
"8","Shallow",0.65,0.372726838
"8","Shallow",1.1375,1.618650812
"8","Shallow",1.625,3.911311505
"8","Shallow",2.1125,7.054725561
"8","Shallow",2.6,11.94904637
"8","Shallow",3.0875,18.66750101
"9","Shallow",0.26,0.05824096
"9","Shallow",0.65,0.242663134
"9","Shallow",1.1375,1.32270134
"9","Shallow",1.625,3.352722744
"9","Shallow",2.1125,6.500161349
"9","Shallow",2.6,11.44908079
"9","Shallow",3.0875,17.76307673
"10","Shallow",0.286,0.073507054
"10","Shallow",0.65,0.475206036
"10","Shallow",1.105,1.844178261
"10","Shallow",1.4625,3.865896128
"10","Shallow",1.7875,6.183221195
"10","Shallow",2.4375,10.93247607
"10","Shallow",2.925,19.38614796
"11","Shallow",0.286,0.146373127
"11","Shallow",0.65,0.521636143
"11","Shallow",1.1375,2.12541498
"11","Shallow",1.625,5.583752927
"11","Shallow",2.1125,10.82616164
"11","Shallow",2.6,16.90733938
"11","Shallow",3.0875,24.50929147
"12","Shallow",0.23075,0.291637733
"12","Shallow",0.65,0.563088123
"12","Shallow",1.1375,2.542946654
"12","Shallow",1.625,6.432980509
"12","Shallow",2.1125,12.91709484
"12","Shallow",2.6,22.25738523
"12","Shallow",3.0875,33.87761671
"13","Shallow",0.325,0.169281386
"13","Shallow",0.65,0.471491441
"13","Shallow",0.975,2.599913945
"13","Shallow",1.3,5.324516891
"13","Shallow",1.625,9.5780324
"13","Shallow",1.95,16.88998854
"13","Shallow",2.6,29.93709589
"15","Steep",0.2275,0.122998745
"15","Steep",0.5525,0.994116249
"15","Steep",0.8775,3.686574694
"15","Steep",1.2025,7.82589836
"15","Steep",1.5275,15.28910579
"15","Steep",1.8525,24.50403323
"15","Steep",2.4375,57.39352124
"16","Steep",0.2665,0.207717396
"16","Steep",0.663,2.209689591
"16","Steep",1.1375,9.891916674
"16","Steep",1.625,27.12579714
"16","Steep",2.1125,52.92672939
"17","Steep",0.325,0.21
"17","Steep",0.5265,1.22
"17","Steep",0.728,1.23
"17","Steep",0.9295,3.1
"17","Steep",1.3325,9.15
"17","Steep",1.7355,19.1
"17","Steep",2.1385,32.85
"17","Steep",2.5415,52.2
"17","Steep",2.9445,73.71
"18","Steep",0.2145,0.240406029
"18","Steep",0.5525,2.075372957
"18","Steep",0.8775,6.519664294
"18","Steep",1.2025,15.75131501
"18","Steep",1.5275,28.16496543
"18","Steep",1.8525,49.66239324
"19","Steep",0.325,0.14
"19","Steep",0.65,1.75
"19","Steep",0.975,5.92
"19","Steep",1.3,14.41
"19","Steep",1.625,27.48
"19","Steep",1.95,42.73
"19","Steep",2.275,62.31
"20","Steep",0.25675,0.147237605
"20","Steep",0.65,1.576454758
"20","Steep",1.1375,6.810077837
"20","Steep",1.625,17.91634054
"20","Steep",2.1125,35.53455127
"20","Steep",2.6,57.40651717
"20","Steep",3.0875,91.54187906
"21","Steep",0.387,1.243943491
"21","Steep",0.5805,4.009245769
"21","Steep",0.774,5.934651819
"21","Steep",0.9675,14.46364296
"21","Steep",1.161,20.73114671
"21","Steep",1.3545,30.37490368
"21","Steep",1.935,61.3742891
"21","Steep",2.9025,122.9504103
"22","Steep",0.387,2.550230767
"22","Steep",0.5805,6.864498751
"22","Steep",0.774,13.75405089
"22","Steep",0.9675,21.97780577
"22","Steep",1.161,30.40737112
"22","Steep",1.3545,43.493712
"22","Steep",1.935,79.82415406
"22","Steep",2.9025,127.3918093
"23","Steep",0.387,2.261028282
"23","Steep",0.5805,6.792993976
"23","Steep",0.774,13.68401635
"23","Steep",0.9675,24.59879646
"23","Steep",1.161,34.71560187
"23","Steep",1.3545,47.93760088
"23","Steep",1.935,86.25482303
"23","Steep",2.9025,132.3301408
"24","Steep",0.387,1.880246934
"24","Steep",0.5805,6.271265082
"24","Steep",0.774,14.10705718
"24","Steep",0.9675,24.44417397
"24","Steep",1.161,32.77751726
"24","Steep",1.3545,53.08781222
"24","Steep",1.935,103.8545012
"24","Steep",2.9025,160.581957
"25","Steep",0.387,2.518343469
"25","Steep",0.5805,7.879668646
"25","Steep",0.774,17.22307081
"25","Steep",0.9675,31.27804069
"25","Steep",1.161,44.63350818
"25","Steep",1.3545,65.3727997
"25","Steep",1.935,153.1718266
"25","Steep",2.9025,292.8497871
"26","Steep",0.387,2.658748397
"26","Steep",0.5805,6.785001858
"26","Steep",0.774,17.17041909
"26","Steep",0.9675,29.71047658
"26","Steep",1.161,46.94256132
"26","Steep",1.3545,70.30434905
"26","Steep",1.935,154.2328093
"26","Steep",2.9025,295.0294128
