Type,Stiffness,Fluo,x ,id
Steep,3.210667,1,800,1
Steep,10.14367,0.980975,1200,1
Steep,22.35648,0.960246,1600,1
Steep,40.49838,0.921154,2000,1
Steep,64.48937,0.948698,2400,1
Steep,91.30993,0.926171,2800,1
Steep,3.210667,0.926665,800,2
Steep,10.14367,0.922983,1200,2
Steep,22.35648,0.976272,1600,2
Steep,40.49838,0.960008,2000,2
Steep,64.48937,1,2400,2
Steep,91.30993,0.988954,2800,2
Steep,3.210667,0.981175,800,3
Steep,10.14367,0.837056,1200,3
Steep,22.35648,0.807913,1600,3
Steep,40.49838,0.893427,2000,3
Steep,64.48937,1,2400,3
Steep,91.30993,1.10987,2800,3
Steep,3.210667,1,800,4
Steep,10.14367,0.963336,1200,4
Steep,22.35648,0.968501,1600,4
Steep,40.49838,0.915072,2000,4
Steep,64.48937,0.91304,2400,4
Steep,91.30993,0.892125,2800,4
Steep,3.210667,1,800,5
Steep,10.14367,0.972005,1200,5
Steep,22.35648,0.978138,1600,5
Steep,40.49838,0.932634,2000,5
Steep,64.48937,0.933821,2400,5
Steep,91.30993,0.918489,2800,5
Steep,3.210667,1,800,6
Steep,10.14367,0.980975,1200,6
Steep,22.35648,0.960246,1600,6
Steep,40.49838,0.921155,2000,6
Steep,64.48937,0.948699,2400,6
Steep,91.30993,0.926171,2800,6
Steep,3.210667,0.993107,800,7
Steep,10.14367,0.954504,1200,7
Steep,22.35648,0.977482,1600,7
Steep,40.49838,1,2000,7
Steep,64.48937,0.931066,2400,7
Steep,91.30993,0.927849,2800,7
Steep,3.210667,0.986031,800,8
Steep,10.14367,0.93738,1200,8
Steep,22.35648,0.972062,1600,8
Steep,40.49838,1,2000,8
Steep,64.48937,0.9658,2400,8
Steep,91.30993,0.998073,2800,8
Steep,3.210667,1,800,9
Steep,10.14367,0.960883,1200,9
Steep,22.35648,0.991976,1600,9
Steep,40.49838,0.994985,2000,9
Steep,64.48937,0.957372,2400,9
Steep,91.30993,0.975928,2800,9
Steep,3.210667,1,800,10
Steep,10.14367,0.921801,1200,10
Steep,22.35648,0.965877,1600,10
Steep,40.49838,0.971564,2000,10
Steep,64.48937,0.91564,2400,10
Steep,91.30993,0.902844,2800,10
Steep,3.210667,1,800,11
Steep,10.14367,0.908494,1200,11
Steep,22.35648,0.918564,1600,11
Steep,40.49838,0.915938,2000,11
Steep,64.48937,0.850701,2400,11
Steep,91.30993,0.834939,2800,11
Steep,3.210667,1,800,12
Steep,10.14367,0.95767,1200,12
Steep,22.35648,0.966318,1600,12
Steep,40.49838,0.954483,2000,12
Steep,64.48937,0.896677,2400,12
Steep,91.30993,0.898043,2800,12
Steep,3.210667,0.97325,800,13
Steep,10.14367,0.954971,1200,13
Steep,22.35648,1,1600,13
Steep,40.49838,0.991529,2000,13
Steep,64.48937,0.911725,2400,13
Steep,91.30993,0.902363,2800,13
Steep,3.210667,0.976889,800,14
Steep,10.14367,0.96,1200,14
Steep,22.35648,0.985778,1600,14
Steep,40.49838,1,2000,14
Steep,64.48937,0.951111,2400,14
Steep,91.30993,0.948444,2800,14
Steep,3.210667,1,800,15
Steep,10.14367,0.965823,1200,15
Steep,22.35648,0.983134,1600,15
Steep,40.49838,0.983577,2000,15
Steep,64.48937,0.92277,2400,15
Steep,91.30993,0.937861,2800,15
Shallow,0.112334,0.869509,800,16
Shallow,0.387705,0.902893,1200,16
Shallow,0.786228,0.942489,1600,16
Shallow,1.69174,0.964287,2000,16
Shallow,2.507537,0.969513,2400,16
Shallow,3.379984,1,2800,16
Shallow,0.112334,0.819603,800,17
Shallow,0.387705,0.884423,1200,17
Shallow,0.786228,0.944987,1600,17
Shallow,1.69174,0.972844,2000,17
Shallow,2.507537,0.981222,2400,17
Shallow,3.379984,1,2800,17
Shallow,0.112334,0.87585,800,18
Shallow,0.387705,0.92743,1200,18
Shallow,0.786228,0.96462,1600,18
Shallow,1.69174,0.974895,2000,18
Shallow,2.507537,0.977348,2400,18
Shallow,3.379984,1,2800,18
Shallow,0.112334,0.926482,800,19
Shallow,0.387705,0.929358,1200,19
Shallow,0.786228,0.939116,1600,19
Shallow,1.69174,0.952469,2000,19
Shallow,2.507537,0.977043,2400,19
Shallow,3.379984,1,2800,19
Shallow,0.112334,0.904766,800,20
Shallow,0.387705,0.939978,1200,20
Shallow,0.786228,0.980501,1600,20
Shallow,1.69174,0.992266,2000,20
Shallow,2.507537,0.980065,2400,20
Shallow,3.379984,1,2800,20
Shallow,0.112334,0.878175,800,21
Shallow,0.387705,0.930533,1200,21
Shallow,0.786228,0.980554,1600,21
Shallow,1.69174,0.992388,2000,21
Shallow,2.507537,0.982363,2400,21
Shallow,3.379984,1,2800,21
Shallow,0.112334,0.923601,800,22
Shallow,0.387705,0.97267,1200,22
Shallow,0.786228,1,1600,22
Shallow,1.69174,0.981442,2000,22
Shallow,2.507537,0.973019,2400,22
Shallow,3.379984,0.953063,2800,22
Shallow,0.112334,0.895236,800,23
Shallow,0.387705,0.933499,1200,23
Shallow,0.786228,0.973468,1600,23
Shallow,1.69174,0.984892,2000,23
Shallow,2.507537,1,2400,23
Shallow,3.379984,0.988507,2800,23
Shallow,0.112334,0.935175,800,24
Shallow,0.387705,0.960576,1200,24
Shallow,0.786228,0.973827,1600,24
Shallow,1.69174,0.984403,2000,24
Shallow,2.507537,1,2400,24
