"Area","Kind","Condition"
9867.46341463415,"Control+0.2","Control"
3832.52941176471,"Control+0.2","Control"
27555.4,"Control+0.2","Control"
4334.68852459016,"Control+0.2","Control"
4768.30588235294,"Control+0.2","Control"
5781.25454545455,"Control+0.2","Control"
8250.08823529412,"Control+0.2","Control"
4572.08219178082,"Control+0.2","Control"
5023.54054054054,"Control+0.2","Control"
6834.65882352941,"Control+0.2","Control"
9608.45454545455,"Control+6","Control"
19028.2823529412,"Control+6","Control"
41563,"Control+6","Control"
15842.2285714286,"Control+6","Control"
3122.75,"Control+6","Control"
24761.6486486487,"Control+6","Control"
31965.75,"Control+6","Control"
40415,"Control+6","Control"
104488,"Control+6","Control"
22154,"Control+6","Control"
79885.6666666667,"Control+6","Control"
33342.3043478261,"Control+6","Control"
7777.26666666667,"Control+6","Control"
33956.9795918367,"Control+6","Control"
9248.57142857143,"Control+6","Control"
81143.0416666667,"Control+6","Control"
149438.909090909,"Control+6","Control"
50410.7380952381,"Control+6","Control"
9762.94642857143,"Control+6","Control"
13424.0731707317,"Control+6","Control"
20504.75,"Control+6","Control"
11669.125,"Control+6","Control"
44578.5526315789,"Control+6","Control"
21136.7,"Control+6","Control"
63750.8333333333,"Control+6","Control"
50404.1052631579,"Control+6","Control"
73430.2658227848,"Control+6","Control"
17692.0117647059,"Control+0.2","Control"
7600.47619047619,"Control+0.2","Control"
8453.61176470588,"Control+0.2","Control"
14635.3529411765,"Control+0.2","Control"
9796.08235294118,"Control+0.2","Control"
41311.4868421053,"Control+24","Control"
17954.0941176471,"Control+24","Control"
6918.64705882353,"Control+24","Control"
10164.0434782609,"Control+24","Control"
8814.5,"Control+24","Control"
42018.5087719298,"Control+24","Control"
49911.72,"Control+24","Control"
47928.2823529412,"Control+24","Control"
8288.87058823529,"Control+24","Control"
27691.7058823529,"Control+24","Control"
28839.78,"Control+24","Control"
8997.80952380952,"Control+24","Control"
8685.11111111111,"Control+24","Control"
15204.1411764706,"Control+24","Control"
36374.3333333333,"Control+24","Control"
7588.4375,"Control+24","Control"
6824.30769230769,"Control+24","Control"
3968.31578947368,"Control+24","Control"
24748.2580645161,"Control+24","Control"
25422.9661016949,"Control+24","Control"
52675.2903225806,"Control+24","Control"
11513.2727272727,"Control+24","Control"
116393.705882353,"Control+24","Control"
1899,"Control+24","Control"
1916.12,"Control+24","Control"
9208.10588235294,"Control+24","Control"
3436.68235294118,"Control+24","Control"
103860.958333333,"Control+24","Control"
148335.965517241,"Control+24","Control"
49837.9882352941,"Control+24","Control"
28980.4117647059,"Control+200","Control"
31126,"Control+200","Control"
48693.7142857143,"Control+200","Control"
69246.0444444444,"Control+200","Control"
35897.0416666667,"Control+200","Control"
4245.7,"Control+200","Control"
53533.3058823529,"Control+200","Control"
48144.08,"Control+200","Control"
2499.54545454545,"Control+200","Control"
23716.0666666667,"Control+200","Control"
3083.69411764706,"Control+200","Control"
4219.49180327869,"Control+200","Control"
2435.89411764706,"Control+200","Control"
5533.86363636364,"Control+200","Control"
23691.8333333333,"Control+200","Control"
3292.54761904762,"Control+200","Control"
4493.34117647059,"Control+200","Control"
1132.14492753623,"Control+0.2","Control"
3553.38823529412,"Control+0.2","Control"
2290.32941176471,"Control+0.2","Control"
6799.16470588235,"Control+0.2","Control"
5456.77647058824,"Control+0.2","Control"
85894.2727272727,"Control+200","Control"
10331.7176470588,"Control+200","Control"
12600.9545454545,"Control+200","Control"
14202.2470588235,"Control+200","Control"
15167.0322580645,"Control+200","Control"
7432.21875,"Control+200","Control"
10587.4074074074,"Control+200","Control"
5580.51724137931,"Control+200","Control"
32203.7926829268,"Control+200","Control"
4903.76923076923,"Control+200","Control"
6615.1320754717,"Control+200","Control"
8272.54054054054,"Control+200","Control"
64300.2307692308,"Control+200","Control"
112046.321428571,"Control+200","Control"
5329.16129032258,"Control+200","Control"
1444.58823529412,"10ng_EGF+200","10ng_EGF"
8895.08235294118,"10ng_EGF+200","10ng_EGF"
19773.2823529412,"10ng_EGF+200","10ng_EGF"
2511.87058823529,"10ng_EGF+200","10ng_EGF"
39744.2117647059,"10ng_EGF+200","10ng_EGF"
2441.56470588235,"10ng_EGF+200","10ng_EGF"
48073.3787878788,"10ng_EGF+200","10ng_EGF"
9760.41176470588,"10ng_EGF+200","10ng_EGF"
2620.125,"10ng_EGF+200","10ng_EGF"
3787.11764705882,"10ng_EGF+200","10ng_EGF"
27474.9058823529,"10ng_EGF+200","10ng_EGF"
29738.7411764706,"10ng_EGF+200","10ng_EGF"
25949.1176470588,"10ng_EGF+200","10ng_EGF"
1955.17391304348,"10ng_EGF+200","10ng_EGF"
14076.7529411765,"10ng_EGF+200","10ng_EGF"
3858.2619047619,"10ng_EGF+200","10ng_EGF"
17451.9615384615,"10ng_EGF+24","10ng_EGF"
27865.7894736842,"10ng_EGF+24","10ng_EGF"
11229.6296296296,"10ng_EGF+24","10ng_EGF"
14771.1,"10ng_EGF+24","10ng_EGF"
4375.5,"10ng_EGF+24","10ng_EGF"
1148.75,"10ng_EGF+24","10ng_EGF"
5935.28235294118,"10ng_EGF+24","10ng_EGF"
2502.82352941176,"10ng_EGF+24","10ng_EGF"
